Year,Month,0_20,20_40,40_60,60_80,80plus
1985,5,4.160135746,4.459704876,5.136404514,4.628776073,5.207436562
1985,6,4.573241234,4.575202465,5.166037083,4.724480629,5.21511364
1985,7,4.902830124,4.686456203,5.237597942,4.827311516,5.270862579
1985,8,5.293530464,4.786408424,5.298363209,4.918026924,5.323195457
1985,9,5.683592319,4.882151604,5.356888771,5.004984379,5.373816967
1985,10,6.418485165,4.99145174,5.401204586,5.097989082,5.411771774
1985,11,5.512633801,5.18930769,5.477773666,5.265623093,5.474977016
1985,12,4.750728607,5.218755245,5.539670944,5.303493977,5.537818432
1986,1,4.37492609,4.997870922,5.483830452,5.123682976,5.500568867
1986,2,4.41418457,4.814217567,5.329546928,4.94518137,5.366410255
1986,3,4.003898144,4.556999207,5.141165733,4.703038692,5.201803207
1986,4,3.875890732,4.405194759,5.006359577,4.555311203,5.070109367
1986,5,4.234888077,4.441856384,4.960307598,4.571490765,5.013944149
1986,6,4.725630283,4.528632641,4.995429993,4.647006035,5.030825615
1986,7,5.056322098,4.632758617,5.08838892,4.749757767,5.111571789
1986,8,5.292074203,4.740049362,5.178574562,4.853599548,5.193535328
1986,9,5.861376762,4.837343216,5.253685474,4.945714951,5.263481617
1986,10,6.631855965,4.914319992,5.294100285,5.013455868,5.300842762
1986,11,6.981904984,5.12016058,5.381261826,5.189496517,5.376704693
1986,12,5.992473125,5.409530163,5.496802807,5.435928345,5.47015667
1987,1,5.176374912,5.409557819,5.631360054,5.471484184,5.603898048
1987,2,4.740302086,5.097146034,5.496374607,5.200016499,5.513925552
1987,3,4.36200285,4.714323521,5.155711174,4.823716164,5.208956242
1987,4,4.632771015,4.762608051,5.136154652,4.855955124,5.175226212
1987,5,4.947642326,4.889210224,5.231069565,4.976446152,5.252739906
1987,6,5.297805309,4.999601364,5.314499378,5.081002235,5.326314926
1987,7,5.867540836,5.113877296,5.422948837,5.194875717,5.42594099
1987,8,6.06367588,5.195413113,5.495707512,5.274974346,5.491887093
1987,9,6.35551405,5.291645527,5.55361557,5.361816883,5.544329166
1987,10,6.933620453,5.410953522,5.601405621,5.462649345,5.58934164
1987,11,6.819408894,5.532317638,5.628126144,5.559637547,5.611816406
1987,12,5.454320431,5.70252943,5.750146389,5.719170094,5.718166828
1988,1,4.834133625,5.405694485,5.662875652,5.472239494,5.672028542
1988,2,4.530513763,4.821640015,5.253253937,4.9274683,5.314220905
1988,3,4.047467709,4.489301205,4.992925167,4.612146378,5.069048405
1988,4,4.122544765,4.406093121,4.886152744,4.523805141,4.953918457
1988,5,4.404174805,4.477882385,4.894426823,4.581172943,4.944243908
1988,6,4.698921204,4.604753017,4.946829319,4.691123962,4.975685596
1988,7,5.180593014,4.712137222,5.033573627,4.794821739,5.048805237
1988,8,5.573547363,4.794818401,5.119246483,4.878862858,5.130014896
1988,9,6.133914948,4.87822628,5.190297604,4.959414482,5.19796896
1988,10,6.939617157,5.049554825,5.286558628,5.112125874,5.285271168
1988,11,6.447733879,5.330442905,5.414251804,5.354956627,5.395187855
1988,12,4.975927353,5.25147438,5.45043087,5.305239201,5.439695358
1989,1,4.063299179,4.569384575,5.098712444,4.700351715,5.164280415
1989,2,3.211738825,3.593787193,4.192687988,3.737419844,4.302330017
1989,3,3.015264273,3.464300394,3.98299408,3.590885401,4.060896873
1989,4,3.246527672,3.607758522,4.065274239,3.71841526,4.141767979
1989,5,3.615290403,3.791093588,4.251465321,3.904370308,4.313397408
1989,6,4.048118591,3.945333719,4.395732403,4.05736351,4.446914673
1989,7,4.402928352,4.075651169,4.50772047,4.184293747,4.547682285
1989,8,4.711905479,4.211737156,4.632366657,4.318777561,4.661340714
1989,9,5.224124432,4.319674969,4.728499413,4.424286366,4.752175331
1989,10,6.182040215,4.421205044,4.76198864,4.507956982,4.78522253
1989,11,5.884827137,4.670913696,4.862813473,4.72038269,4.871078491
1989,12,4.866541862,4.906989574,5.024816513,4.939536095,5.012959003
1990,1,4.255834103,4.848829746,5.052787304,4.90346384,5.045541763
1990,2,3.409054041,4.446532249,4.902327061,4.562278271,4.935616016
1990,3,3.040236712,3.93964386,4.529304504,4.08280611,4.623647213
1990,4,3.505006552,3.895195246,4.398025036,4.016442299,4.484977245
1990,5,3.812684298,4.008317471,4.470239639,4.121414185,4.536760807
1990,6,4.118229866,4.10853529,4.525946617,4.211932182,4.576717377
1990,7,4.455656052,4.177891254,4.557675362,4.272768021,4.59762907
1990,8,4.918585777,4.252696514,4.596984386,4.339410782,4.627706528
1990,9,5.472474575,4.33198452,4.636173725,4.409314156,4.657745838
1990,10,6.570100784,4.455227852,4.705582142,4.51937151,4.719441891
1990,11,5.886124611,4.712558746,4.802977562,4.736666679,4.800644398
1990,12,4.526051521,4.807115555,4.914168835,4.836811543,4.902415276
1991,1,4.024641037,4.581231117,4.858514786,4.652457714,4.872434139
1991,2,3.310348272,4.212280273,4.734489918,4.342842102,4.788609505
1991,3,3.428647041,4.055212498,4.608819008,4.19133234,4.684055805
1991,4,3.672484159,4.089040756,4.552577019,4.20328474,4.613463402
1991,5,4.116765499,4.19116354,4.593787193,4.291333675,4.639356613
1991,6,4.38237381,4.256720066,4.619483948,4.347683907,4.655000687
1991,7,4.617902756,4.309328556,4.635368824,4.391608238,4.663201809
1991,8,5.02756691,4.417603016,4.691659451,4.488187313,4.703961849
1991,9,5.78798151,4.510001183,4.750646591,4.572373867,4.758380413
1991,10,6.883896351,4.638962269,4.807204723,4.683010101,4.809175491
1991,11,6.71818161,4.977205276,4.93971014,4.969300747,4.924366474
1991,12,5.32181406,5.216555595,5.085111618,5.18688488,5.04660368
1992,1,4.569938183,4.977474213,5.102574348,5.011221886,5.096283436
1992,2,3.996625423,4.583747387,4.928551674,4.669355392,4.968956947
1992,3,3.85014987,4.312120914,4.777764797,4.427488804,4.834218502
1992,4,4.195355892,4.362328529,4.750613213,4.458754063,4.795941353
1992,5,4.569223881,4.497597218,4.800284863,4.574278355,4.823828697
1992,6,4.891508102,4.60253334,4.886107445,4.675751686,4.89741087
1992,7,5.146891594,4.673493385,4.962469578,4.748904705,4.967767239
1992,8,5.439470291,4.771285057,5.045650959,4.843630791,5.044859886
1992,9,5.909795284,4.836832047,5.107407093,4.908547878,5.103745937
1992,10,6.731156349,4.947977543,5.166196823,5.006317616,5.159335613
1992,11,6.597916603,5.227365017,5.292312622,5.247414112,5.26933527
1992,12,5.289518833,5.381360054,5.43811512,5.400672913,5.404062271
1993,1,4.257397652,4.927669525,5.286633492,5.019164085,5.310217857
1993,2,3.459164143,4.006060123,4.500649452,4.119357109,4.632656574
1993,3,3.676307678,3.999462128,4.428380013,4.1016078,4.512517929
1993,4,3.926619291,4.075716496,4.48825264,4.177612305,4.540712833
1993,5,4.283288956,4.269629955,4.594715118,4.351356983,4.624897957
1993,6,4.522773266,4.374302864,4.702543736,4.45797348,4.724052906
1993,7,4.803287983,4.469022751,4.801047325,4.554528713,4.81601572
1993,8,5.078584671,4.549033642,4.887219429,4.636527538,4.899339676
1993,9,5.624974251,4.587431431,4.930355549,4.675863266,4.944888592
1993,10,6.46449852,4.642193317,4.949580193,4.721282005,4.964003086
1993,11,6.714592934,4.806319237,5.030921459,4.864936829,5.03499651
1993,12,5.668317795,5.115159988,5.169654846,5.132300377,5.147897243
1994,1,4.909442902,5.211236477,5.332631111,5.246172905,5.309465885
1994,2,4.362281322,4.843586922,5.143304825,4.919125557,5.169657707
1994,3,3.830486059,4.330883026,4.729551315,4.426194668,4.80487299
1994,4,3.74075532,4.153820992,4.644908905,4.272787571,4.725533485
1994,5,4.107531071,4.299126148,4.710476875,4.400315285,4.766013622
1994,6,4.473016262,4.457657337,4.816523552,4.547805309,4.850400448
1994,7,4.716304302,4.561527729,4.90704155,4.649612427,4.929594994
1994,8,5.121713638,4.616267204,4.943751812,4.700448513,4.959727287
1994,9,5.652486324,4.708338261,5.007087231,4.786128998,5.013895988
1994,10,6.648693085,4.864895821,5.109038353,4.929511547,5.10646677
1994,11,5.727360725,5.049590111,5.187749386,5.087890625,5.172771931
1994,12,4.556050301,4.967387676,5.170088768,5.019899845,5.176805496
1995,1,4.097361088,4.862948895,5.358674049,4.985882282,5.417898655
1995,2,3.716578484,4.569067478,5.16019392,4.715124607,5.234982491
1995,3,3.466986179,4.264864922,4.863652706,4.410341263,4.958691597
1995,4,3.200200796,3.858819962,4.536798954,4.024772644,4.634767056
1995,5,3.54165411,3.948333979,4.6007061,4.109842777,4.680754662
1995,6,4.038833141,4.041821957,4.624686718,4.187151909,4.688182831
1995,7,4.349948406,4.127638817,4.681540966,4.266874313,4.733098984
1995,8,4.542032719,4.248867035,4.770568371,4.380757332,4.813288689
1995,9,5.112866879,4.364761829,4.843940735,4.486501694,4.87850523
1995,10,5.958481789,4.53861475,4.956834316,4.645893097,4.97900629
1995,11,6.153983116,4.789346695,5.048389912,4.856777668,5.054459095
1995,12,4.970808983,4.979872227,5.168866634,5.031042099,5.157912254
1996,1,4.374966621,4.762677193,5.114902496,4.85210228,5.140785217
1996,2,3.671562433,4.235569954,4.796945572,4.372176647,4.884335995
1996,3,3.813086271,4.135079861,4.581504822,4.242499828,4.660464764
1996,4,3.818141222,4.18371439,4.568181038,4.276140213,4.63684845
1996,5,4.122972488,4.298354149,4.676843643,4.391979218,4.723897457
1996,6,4.496290207,4.403911591,4.768225193,4.495331287,4.803373814
1996,7,4.790210724,4.50679493,4.86658287,4.598037243,4.89382267
1996,8,5.065946102,4.598916054,4.961005211,4.691377163,4.983467579
1996,9,5.507122517,4.7099967,5.046435356,4.796533585,5.062429428
1996,10,6.551292419,4.886320114,5.151722431,4.95537281,5.158202171
1996,11,6.15342617,5.129806995,5.290491581,5.173284531,5.281394482
1996,12,4.949020386,5.160202503,5.33741045,5.206823826,5.337721825
1997,1,3.969247103,4.329557419,4.719388962,4.423856258,4.784469128
1997,2,3.854970217,4.166805267,4.632042885,4.281792641,4.690628529
1997,3,3.779104233,4.130230427,4.598176479,4.244809151,4.665503502
1997,4,4.031600475,4.19162941,4.661533833,4.308674812,4.713654518
1997,5,4.343660355,4.345068455,4.767041206,4.45168829,4.80204916
1997,6,4.564400196,4.456837177,4.853924751,4.558303356,4.878026009
1997,7,4.801229,4.567045212,4.964038849,4.669517517,4.98010397
1997,8,5.110090733,4.673843861,5.063373566,4.77495575,5.074726105
1997,9,5.671657562,4.800231934,5.170175552,4.896929741,5.17573595
1997,10,6.704854012,4.968322277,5.290632725,5.053310871,5.289696217
1997,11,7.024441242,5.288413048,5.445382595,5.331775188,5.429559231
1997,12,5.84333992,5.652876377,5.690218449,5.668486118,5.645187378
1998,1,4.839024067,5.201059818,5.53392458,5.286223888,5.553282261
1998,2,4.90183115,5.053143024,5.34434557,5.125898838,5.374912739
1998,3,4.971608162,5.025383949,5.350178719,5.108844757,5.366253376
1998,4,5.158433437,5.000531673,5.363686562,5.093733311,5.382561207
1998,5,5.473973274,5.105409622,5.443545818,5.19329977,5.452476025
1998,6,5.729950905,5.203718662,5.51770401,5.285970688,5.521008492
1998,7,5.917787075,5.279423714,5.567203045,5.355403423,5.565615654
1998,8,6.150782585,5.366961002,5.627542496,5.436561584,5.61985445
1998,9,6.711761475,5.44159317,5.67165184,5.503402233,5.662051678
1998,10,7.404759407,5.535406113,5.706992149,5.582362175,5.693156719
1998,11,7.150272846,5.769935131,5.813168049,5.785080433,5.783847332
1998,12,5.591780186,5.765641689,5.869053364,5.795014858,5.852343082
1999,1,4.939350605,5.375806332,5.680756569,5.45249033,5.708923817
1999,2,3.583370447,4.142336845,4.587691784,4.248171806,4.676813126
1999,3,3.215275526,3.771851301,4.300964355,3.898438692,4.400233746
1999,4,3.528436661,4.033429623,4.672063351,4.188164234,4.77671957
1999,5,3.955992937,4.179280281,4.736524582,4.316258907,4.81253767
1999,6,4.434369564,4.375574112,4.863407612,4.497126102,4.917200565
1999,7,4.852924347,4.557853699,5.021246433,4.675318718,5.056729794
1999,8,5.155612946,4.701908588,5.162288189,4.819934368,5.187215805
1999,9,5.639957905,4.863877773,5.288994789,4.973916531,5.303805828
1999,10,6.378806591,5.014742374,5.388632298,5.112163544,5.396650791
1999,11,5.99474287,5.280068874,5.492264748,5.337009907,5.483946323
1999,12,4.925699234,5.421548843,5.602956772,5.471714497,5.584261417
2000,1,3.932602644,4.84668684,5.355280399,4.974201679,5.405203342
2000,2,3.474447966,4.355976582,4.987680912,4.508977413,5.091629505
2000,3,3.701316118,4.124515533,4.72552824,4.271102428,4.816477299
2000,4,3.931766987,4.183557987,4.651609898,4.298272133,4.718101025
2000,5,4.209566116,4.315569401,4.689628124,4.408096313,4.736146927
2000,6,4.514770031,4.430883884,4.788815022,4.520691872,4.823423386
2000,7,4.875989914,4.532991886,4.883255959,4.621935844,4.908862114
2000,8,5.21312809,4.640870571,4.958342552,4.722524166,4.973471642
2000,9,5.812599182,4.748046398,5.023826122,4.819730759,5.031092644
2000,10,6.381614685,4.904716492,5.123376846,4.962420464,5.122380733
2000,11,6.553446293,5.120647907,5.220153809,5.148549557,5.20690155
2000,12,5.434572697,5.353298664,5.379401684,5.364334106,5.346954346
2001,1,4.813055992,5.105921745,5.341283321,5.16739893,5.345153809
2001,2,4.624138832,4.90915823,5.202744484,4.982948303,5.230144501
2001,3,4.469187737,4.781386852,5.074458599,4.854075909,5.109384537
2001,4,4.389552116,4.695471764,4.998191357,4.769789696,5.040220737
2001,5,4.669538498,4.738957882,4.991930962,4.80159235,5.022929192
2001,6,4.977241993,4.79629755,5.023760319,4.853761196,5.042702675
2001,7,5.190706253,4.853586674,5.073847294,4.910326481,5.08365202
2001,8,5.463688374,4.921002865,5.136427402,4.977358341,5.139300346
2001,9,5.969559193,5.019944191,5.211798668,5.071076393,5.207009792
2001,10,6.700948238,5.128873825,5.27423048,5.168305874,5.265205383
2001,11,6.169192314,5.341216087,5.362837315,5.349643707,5.34152174
2001,12,4.897750378,5.257146358,5.35695219,5.28459692,5.347829342
2002,1,3.986179352,4.459777832,4.865738869,4.558597565,4.928684235
2002,2,3.806467533,4.305226803,4.783867359,4.422173977,4.854686737
2002,3,3.592382431,4.010342121,4.481538773,4.122377872,4.575362682
2002,4,3.61341548,3.980096817,4.311598778,4.05785799,4.385866165
2002,5,3.861769438,4.014898777,4.300710201,4.082185745,4.36284399
2002,6,4.204487801,4.101417065,4.359609127,4.163873196,4.4027071
2002,7,4.53809309,4.192995548,4.443775654,4.254958153,4.475512028
2002,8,4.782091618,4.278693676,4.531988144,4.341920853,4.559025764
2002,9,5.089313984,4.372478008,4.618990898,4.434186459,4.643945217
2002,10,5.883827209,4.464262009,4.689261436,4.520791054,4.71043539
2002,11,7.077608109,4.75726366,4.839900494,4.778539658,4.843670845
2002,12,6.349604607,5.243938446,5.141457558,5.221082211,5.109277725
2003,1,5.524057388,5.461492538,5.480006218,5.471744537,5.438090324
2003,2,5.265021324,5.279892921,5.518922329,5.344168663,5.508506298
2003,3,5.052578449,5.208605766,5.442102909,5.269226551,5.448820591
2003,4,4.823801994,5.078891754,5.330979347,5.142547131,5.352203846
2003,5,4.938868046,5.071984291,5.322054863,5.135282993,5.341920376
2003,6,5.304735661,5.154350758,5.387646675,5.215041161,5.393410206
2003,7,5.535951138,5.191730976,5.435445786,5.25583744,5.435966492
2003,8,5.796716213,5.251961708,5.483661652,5.313747883,5.477609634
2003,9,6.37375927,5.323713779,5.531635284,5.379836082,5.520925999
2003,10,7.378427029,5.475478649,5.59830904,5.510146141,5.580185413
2003,11,7.150927067,5.671955109,5.669800282,5.67527771,5.639475822
2003,12,5.656684399,5.744029999,5.755447388,5.751881599,5.71767664
2004,1,4.532912731,5.008487225,5.349006653,5.091435909,5.401344776
2004,2,3.893379211,4.237116337,4.684616089,4.342271328,4.783439636
2004,3,3.940860271,4.229167461,4.694658756,4.342326164,4.768017769
2004,4,3.937270164,4.223189354,4.652081013,4.327491283,4.719359398
2004,5,4.351477623,4.410850525,4.819973946,4.513065338,4.862945557
2004,6,4.604774475,4.583548546,4.980449677,4.684434414,5.008692741
2004,7,4.949109554,4.701605797,5.101338863,4.804353714,5.12087965
2004,8,5.298862934,4.805764198,5.184966087,4.904129982,5.196526527
2004,9,5.745145798,4.910394192,5.267388821,5.003891468,5.271315575
2004,10,6.41849041,5.022304058,5.345787048,5.107554913,5.345214367
2004,11,6.259022236,5.185132504,5.406842232,5.244160175,5.401785851
2004,12,5.288479805,5.357887268,5.502068996,5.398034096,5.485062122
2005,1,4.706423283,5.26142025,5.516573429,5.328917027,5.514141083
2005,2,4.185738564,4.932860374,5.413755417,5.055995941,5.440961361
2005,3,4.203692436,4.751223564,5.231823444,4.871460438,5.281021595
2005,4,4.153029919,4.740989685,5.268083572,4.871631622,5.331602097
2005,5,4.572084904,4.807106018,5.234338284,4.912928581,5.286357403
2005,6,4.907928467,4.890067101,5.266252041,4.984819412,5.299787998
2005,7,5.166866302,4.961679459,5.326135635,5.054887295,5.347636223
2005,8,5.511982918,5.014690876,5.36755991,5.105773449,5.381843567
2005,9,5.878304005,5.069696426,5.402706623,5.156298637,5.411155224
2005,10,6.712785244,5.17282629,5.441561699,5.243240356,5.444268703
2005,11,6.496603489,5.387238979,5.502057552,5.41864872,5.49288702
2005,12,5.210000515,5.529790878,5.610666752,5.553899765,5.588740349
2006,1,4.861329079,5.404178619,5.615139484,5.459629536,5.615900993
2006,2,3.779041052,4.45359087,5.115981579,4.614851475,5.218529224
2006,3,3.630830526,4.125006199,4.751417637,4.274769783,4.869737148
2006,4,3.858905792,4.203802586,4.735891342,4.332250595,4.82676363
2006,5,4.281076908,4.433641911,4.886633873,4.545603275,4.943673134
2006,6,4.625594616,4.572935104,4.971854687,4.673022747,5.010463238
2006,7,5.031086445,4.680034161,5.057806015,4.776248932,5.083199024
2006,8,5.303979397,4.777249336,5.145321846,4.871958256,5.162545681
2006,9,5.754508495,4.879366875,5.200446606,4.962227821,5.213567734
2006,10,6.646749973,4.988130569,5.243979931,5.054419518,5.25239563
2006,11,6.246213913,5.147037506,5.296450615,5.18699789,5.291635513
2006,12,4.553427696,5.024553299,5.305997849,5.09804678,5.310789585
2007,1,3.65089035,4.305055618,4.952599525,4.466788769,5.020989895
2007,2,3.39670682,3.992385387,4.579584599,4.13380003,4.682499409
2007,3,2.65786171,3.364155054,3.974129677,3.50945282,4.093523979
2007,4,2.944936037,3.407724142,3.967708349,3.542298317,4.068083763
2007,5,3.568890095,3.647857189,4.154615879,3.771717548,4.229259491
2007,6,4.130859375,3.848027945,4.289136887,3.957532883,4.340932369
2007,7,4.45805788,3.982690811,4.373615265,4.080965519,4.409946442
2007,8,4.765316963,4.113866806,4.481776237,4.207686424,4.505594254
2007,9,5.161458015,4.239934444,4.597611427,4.332080364,4.613473415
2007,10,5.78121376,4.368957996,4.709994316,4.456973076,4.723902702
2007,11,6.07510519,4.623149872,4.857843399,4.684057236,4.864783287
2007,12,5.080196381,4.941246986,5.024127483,4.964678288,5.011596203
2008,1,3.842622757,4.523362637,4.883503914,4.612066746,4.931254864
2008,2,3.249504805,4.029785633,4.553443432,4.156133175,4.643383026
2008,3,3.14513731,3.823951244,4.436790466,3.973271132,4.530709267
2008,4,3.407903194,3.88632369,4.448784828,4.024271011,4.527951241
2008,5,3.907833815,4.038258553,4.445017815,4.138453007,4.498888016
2008,6,4.329409599,4.16575861,4.555686474,4.263480663,4.594278812
2008,7,4.55393362,4.289767265,4.649204254,4.38137722,4.672857285
2008,8,4.891186714,4.413306236,4.734786034,4.496469498,4.746373653
2008,9,5.313942432,4.534636497,4.831604004,4.612034321,4.837820053
2008,10,5.916436672,4.656889439,4.90782547,4.72254324,4.911107063
2008,11,5.992823124,4.917607784,5.018190384,4.945790291,5.004955292
2008,12,4.830476761,5.050508976,5.135769367,5.075912476,5.112745285
2009,1,3.656375885,4.436441898,4.873639584,4.544145107,4.931450367
2009,2,3.081165314,3.957590342,4.591324329,4.111302376,4.693893433
2009,3,2.761360407,3.602325439,4.305931091,3.771968365,4.427732944
2009,4,2.934801579,3.609364271,4.263578415,3.766858578,4.37870121
2009,5,3.329902649,3.690910101,4.234161854,3.822802067,4.321102619
2009,6,3.655340672,3.808205366,4.314701557,3.933277369,4.379362583
2009,7,4.019191742,3.906452179,4.389593124,4.026987553,4.44167757
2009,8,4.453521729,4.015393257,4.490748882,4.135192871,4.532591343
2009,9,5.134907246,4.157634258,4.560086727,4.259885311,4.589082718
2009,10,6.086283207,4.348011971,4.661208153,4.428142071,4.679438114
2009,11,5.876165867,4.691655159,4.836326122,4.730218887,4.832660198
2009,12,5.034737587,4.959366798,5.007444859,4.974541664,4.987839699
2010,1,4.55583477,4.858006001,4.993405342,4.892736912,5.000588417
2010,2,4.442696095,4.822979927,5.011908531,4.87126255,5.023327827
2010,3,4.108346462,4.498870373,4.912953854,4.602640629,4.953982353
2010,4,4.14525032,4.373046398,4.811798573,4.482816696,4.856687069
2010,5,4.723674774,4.586270332,4.931879997,4.674452305,4.953873634
2010,6,5.209667206,4.780798912,5.078674316,4.859008312,5.080429077
2010,7,5.462918282,4.892178535,5.186161995,4.970422268,5.179659843
2010,8,5.593763828,4.914399624,5.215610981,4.994210243,5.21173048
2010,9,5.867728233,4.949422359,5.220249653,5.021287441,5.215940475
2010,10,6.510123253,5.095668793,5.278698444,5.14560318,5.265132427
2010,11,6.632190228,5.425157547,5.431354046,5.431746006,5.392713547
2010,12,5.261655331,5.361018181,5.46170187,5.390515327,5.438425064
2011,1,4.49023962,4.866771221,5.200888634,4.9506073,5.23317194
2011,2,4.137502193,4.454854965,4.905224323,4.564942837,4.971485138
2011,3,3.55549264,3.867628098,4.311797619,3.973448277,4.398598671
2011,4,3.716744423,3.94070363,4.394248009,4.052161217,4.456348896
2011,5,4.109340191,4.116739273,4.508300781,4.214151382,4.552662849
2011,6,4.550688744,4.272755146,4.658086777,4.370145798,4.689829826
2011,7,4.752037048,4.397779465,4.783433437,4.496490955,4.805541992
2011,8,4.945773602,4.515965939,4.884609222,4.610917568,4.901110172
2011,9,5.610957623,4.710861683,5.007496834,4.78798008,5.015209675
2011,10,6.478952408,4.966680527,5.150178432,5.015834808,5.143656731
2011,11,5.965679646,5.161530495,5.259189129,5.189124584,5.244538784
2011,12,4.543140888,4.895795822,5.171027184,4.965372562,5.193595409
2012,1,3.185109615,3.595931768,3.974499464,3.67731142,4.117165089
2012,2,2.637362003,2.964077234,3.453197002,3.077682495,3.57157588
