Year,Trip Number,ADFG Number,Vessel Name,Sample Date,Port Code,Project Code,Groundfish Stat Area,Groundfish Stat Area Group,Groundfish Management Area Code,Sample Type Code,Sample Type,Specimen Number,Length Millimeters,Weight Kilograms,Age,Girth Millimeters,Species Code,Species,Length Type Code,Length Type,Age Readability Code,Age Readability,Sex Code,Maturity Code,Maturity
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,11,630,3.22,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,12,710,4.4,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,13,700,4.74,7,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,14,720,4.64,7,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,15,580,2.22,4,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,16,710,4.52,6,,110,Pacific cod,1,Tip of snout to fork of tail,1,Very Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,17,780,5.46,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,18,720,4.5,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,19,640,3.08,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,20,640,2.72,6,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,21,670,3.46,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,22,710,4.04,6,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,23,670,3.18,6,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,24,580,2.18,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,25,770,4.98,7,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,26,650,3.22,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,27,740,4.86,7,,110,Pacific cod,1,Tip of snout to fork of tail,4,Somewhat Unsure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,28,670,3.72,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,29,720,4.2,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,30,700,4.4,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,31,680,3.68,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,32,650,3.42,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,33,570,2.44,5,,110,Pacific cod,1,Tip of snout to fork of tail,1,Very Sure,1,2,Maturing Juvenile
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,34,630,3.04,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,35,740,5.2,7,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,36,670,3.46,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,37,660,3.68,4,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,38,680,3.64,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,39,670,3.52,5,,110,Pacific cod,1,Tip of snout to fork of tail,1,Very Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,40,740,4.84,5,,110,Pacific cod,1,Tip of snout to fork of tail,1,Very Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,41,740,4.38,6,,110,Pacific cod,1,Tip of snout to fork of tail,1,Very Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,42,760,5.3,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,43,680,3.02,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,44,720,4.24,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,45,580,2.1,5,,110,Pacific cod,1,Tip of snout to fork of tail,4,Somewhat Unsure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,46,640,3.02,4,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,47,530,1.88,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,48,710,4.08,5,,110,Pacific cod,1,Tip of snout to fork of tail,1,Very Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,49,700,4.14,6,,110,Pacific cod,1,Tip of snout to fork of tail,1,Very Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,50,530,1.74,4,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,1,730,4.68,7,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,2,610,2.62,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,3,610,2.8,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,4,710,4.58,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,5,710,4.48,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,6,630,3.26,5,,110,Pacific cod,1,Tip of snout to fork of tail,5,Unsure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,7,690,4.22,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,8,690,4.1,4,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,9,680,3.56,7,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,10,660,3.52,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,11,560,2.28,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,12,570,2.36,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,13,690,3.82,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,14,710,4.5,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,15,700,3.86,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,16,630,2.84,6,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,17,690,4.32,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,18,730,4.74,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,19,740,4.96,4,,110,Pacific cod,1,Tip of snout to fork of tail,4,Somewhat Unsure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,20,650,3.2,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,21,690,4.32,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,22,790,4.16,7,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,23,640,3.22,4,,110,Pacific cod,1,Tip of snout to fork of tail,4,Somewhat Unsure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,24,610,2.66,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,25,640,3,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,26,720,4.38,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,27,750,5.46,7,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,28,650,3.22,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,29,640,3.32,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,30,660,3.7,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,31,650,3.24,6,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,32,660,3.26,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,33,660,3.44,4,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,34,620,2.74,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,35,580,2.4,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,36,590,2.46,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,37,680,2.8,5,,110,Pacific cod,1,Tip of snout to fork of tail,4,Somewhat Unsure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,38,610,2.46,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,39,580,2.2,4,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,40,620,2.78,7,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,41,670,3.6,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,42,720,4.42,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,43,630,2.84,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,44,590,2.16,4,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,45,740,5.2,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,46,750,5.02,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,47,630,2.68,5,,110,Pacific cod,1,Tip of snout to fork of tail,4,Somewhat Unsure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,48,580,2.64,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,49,680,3.2,4,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4004,19741,AGILE,1/22/2021 0:00,JNU,602,,,NSEI,1,Random,50,620,2.82,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,1,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,1,750,4.2,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,2,730,4.94,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,3,780,5.14,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,4,550,2.02,5,,110,Pacific cod,1,Tip of snout to fork of tail,5,Unsure,1,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,5,550,1.74,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,1,Immature
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,6,600,2.74,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,7,570,1.92,4,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,8,680,4.2,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,9,580,2.2,6,,110,Pacific cod,1,Tip of snout to fork of tail,4,Somewhat Unsure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,10,540,1.74,4,,110,Pacific cod,1,Tip of snout to fork of tail,1,Very Sure,1,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,11,710,4.82,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,12,720,4.68,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,13,630,2.68,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,14,530,1.64,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,1,Immature
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,15,660,4,5,,110,Pacific cod,1,Tip of snout to fork of tail,1,Very Sure,1,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,16,530,1.66,6,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,2,Maturing Juvenile
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,17,600,2.18,3,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,2,Maturing Juvenile
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,18,700,4.56,6,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,19,610,2.62,3,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,20,710,3.96,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,21,650,3.12,4,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,22,840,6.88,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,23,550,1.96,4,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,24,680,3.64,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,25,570,2.08,4,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,26,800,6.4,7,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,27,580,2.2,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,28,540,1.5,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,1,1,Immature
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,29,590,2.28,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,30,740,4.7,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,31,580,1.98,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,32,650,2.78,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,33,670,3.98,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,34,680,4,4,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,35,710,3.84,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4007,31796,Fortune,1/29/2021 0:00,JNU,602,355801,,NSEI,1,Random,36,650,3.34,6,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
