EM_HAUL_PK,VESSEL_ID,ORIGINAL_EM_TRIP_NUMBER,EM_TRIP_NUMBER,ODDS_TRIP_NUMBER,TRIP_START_DATE,EM_HAUL_NUMBER,RETRIEVAL_START_DATE,RETRIEVAL_END_DATE,SAMPLED_FLAG,AGENCY_GEAR_ID,AGENCY_GEAR_CODE,EM_GEAR_CODE,EM_GEAR_NAME,OBS_VESSEL_TYPE,HAUL_PURPOSE_CODE,FMP_AREA_ID,FMP_SUB_AREA_ID,FMP_SUB_AREA_CODE,REPORTING_AREA_ID,REPORTING_AREA_CODE,ADFG_STAT_AREA_ID,ADFG_STAT_AREA_CODE,CRITICAL_HABITAT_AREA_ID,CRITICAL_HABITAT_AREA_CODE,SPECIAL_AREA_ID,SPECIAL_AREA_CODE,COBLZ_FLAG,RETRIEVAL_START_LATITUDE_DD,RETRIEVAL_START_LONGITUDE_DD,RETRIEVAL_END_LATITUDE_DD,RETRIEVAL_END_LONGITUDE_DD,PROCESSING_SECTOR,HARVEST_SECTOR,TOTAL_GROUNDFISH_WEIGHT_MT,RETAINED_GROUNDFISH_WEIGHT_MT,TARGET_FISHERY_CODE,TRIP_TARGET_CODE,TRIP_TARGET_DATE,YEAR,GEAR_PERFORMANCE,GEAR_PERFORMANCE_DESCRIPTION,FILE_IMPORT_DATE,IMPORT_PROCESSED_DATE,LAST_MODIFIED_DATE_HAUL,USER_REQUESTED_COVERAGE,INHERIT_OBSERVER_COVERAGE,RANDOM_NUMBER_USED,EFFECTIVE_RATE,TRIP_TOTAL_HAULS_POTS,TRIP_SAMPLED_HAULS_POTS,CATCH_REPORT_SPECIES_FACT_PK,OBS_SPECIES_CODE,AGENCY_SPECIES_ID,AGENCY_SPECIES_CODE,SPECIES_GROUP_ID,SPECIES_GROUP_CODE,EXTRAPOLATED_WEIGHT_MT,EXTRAPOLATED_WEIGHT_KG,EXTRAPOLATED_NUMBER,PERCENT_RETAINED,LAST_MODIFIED_DATE_SPECIES,AKFIN_VDATE,OBS_VESSEL_ID,ADFG_VESSEL_ID,OBS_VESSEL_TYPE_DESC,OBS_GEAR_CODE,OBS_GEAR_DESCRIPTION,FMP_AREA,FMP_SUBAREA,OBS_SPECIES_NAME,AGENCY_SPECIES_NAME,HAUL_PURPOSE_DESCRIPTION,HAUL_TARGET_NAME,TRIP_TARGET_NAME,TOTAL_SPECIES_DEPREDATED,NUMBER_OF_POTS_IN_SAMPLED_STRING,NUMBER_OF_SAMPLED_STRINGS,NUMBER_OF_NON_SAMPLED_STRINGS,TOTAL_STRINGS_IN_TRIP,AKR_VES_LENGTH
107337,26124,21_CAPTAINCOOK04.01,2104.01,142900,10/28/2021 23:31,212461,11/2/2021 2:20,11/2/2021 2:47,Y,5,HAL,6,SnapLongline,3,CA,31,31,GOA,24,620,4140,565633,0,N/A,0,N/A,N,56.99,-156.65439,57,-156.66027,S,CV,0.0094816,0.0094816,I,I,10/28/2021 0:00,2021,1,No problems,4/26/2022 17:30,4/27/2022 10:28,4/27/2022 10:28,N,N,18.93,30,13,4,79774621,202,2,110,2,PCOD,0.0094816,9.4816,2,100,4/27/2022 10:28,10/26/2022 6:30,29869,29869,Catcher Vessel,8,LONGLINER,GOA,CG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Halibut,Halibut,0,NA,NA,NA,NA,48
91492,792,21_INDEPENDENCE01.01,2101.01,134289,3/23/2021 16:48,188596,3/24/2021 21:39,3/25/2021 2:14,Y,5,HAL,6,SnapLongline,3,CA,31,31,GOA,24,620,7226,565704,0,N/A,0,N/A,N,57.33,-156.18133,57.32,-156.13867,S,CV,0.2001988,0,I,I,3/23/2021 0:00,2021,11,No bait in pot,5/23/2021 17:30,10/7/2021 9:55,10/7/2021 9:55,N,N,17.8,30,12,4,66047421,202,2,110,2,PCOD,0.0142224,14.2224,3,0,10/7/2021 9:55,10/26/2022 6:30,A221,22756,Catcher Vessel,8,LONGLINER,GOA,CG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Halibut,Halibut,0,NA,NA,NA,NA,78
99888,31364,21_INTREPID02.01,2102.01,142220,10/5/2021 19:06,204631,10/12/2021 1:03,10/12/2021 3:10,Y,5,HAL,7,FixedHookLongline,3,CA,31,31,GOA,24,620,4140,565633,0,N/A,0,N/A,N,56.98,-156.56887,56.97,-156.52003,S,CV,0.0438388,0.0227496,I,I,10/5/2021 0:00,2021,1,No problems,3/21/2022 17:30,3/22/2022 10:37,3/22/2022 10:37,N,N,0.66,30,15,5,77933079,202,2,110,2,PCOD,0.0189632,18.9632,4,100,3/22/2022 10:37,10/26/2022 6:30,75701,75701,Catcher Vessel,8,LONGLINER,GOA,CG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Halibut,Halibut,0,NA,NA,NA,NA,58
91571,4173,21_CINDRIAGENE01.01,2101.01,134945,4/21/2021 0:52,191197,4/24/2021 23:47,4/25/2021 1:05,Y,5,HAL,7,FixedHookLongline,3,CA,31,31,GOA,24,620,4143,565702,0,N/A,0,N/A,N,57.17,-155.98771,57.15,-156.04588,S,CV,0.298525,0.07909272,I,I,4/21/2021 0:00,2021,1,No problems,7/27/2021 17:30,10/7/2021 9:55,10/7/2021 9:55,N,N,28.15,30,22,8,66048168,202,2,110,2,PCOD,0.142224,142.224,30,53,10/7/2021 9:55,10/26/2022 6:30,58183,58183,Catcher Vessel,8,LONGLINER,GOA,CG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Halibut,Halibut,0,NA,NA,NA,NA,58
107119,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,212015,2/3/2021 1:22,2/3/2021 1:24,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.64,-163.1477,54.64,-163.14631,S,CV,0.0500856,0.044075328,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899563,202,2,110,2,PCOD,0.0500856,50.0856,8,88,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
107143,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,212039,2/3/2021 14:35,2/3/2021 14:37,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.62,-163.29159,54.62,-163.29043,S,CV,0.1001712,0.1001712,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899593,202,2,110,2,PCOD,0.1001712,100.1712,16,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
91569,4173,21_CINDRIAGENE01.01,2101.01,134945,4/21/2021 0:52,191191,4/27/2021 1:30,4/27/2021 2:58,Y,5,HAL,7,FixedHookLongline,3,CA,31,31,GOA,24,620,4143,565702,0,N/A,0,N/A,N,57.04,-156.0656,57.01,-156.12085,S,CV,0.2974555,0.046744288,I,I,4/21/2021 0:00,2021,1,No problems,7/27/2021 17:30,10/7/2021 9:55,10/7/2021 9:55,N,N,28.15,30,22,8,66048152,202,2,110,2,PCOD,0.1374832,137.4832,29,34,10/7/2021 9:55,10/26/2022 6:30,58183,58183,Catcher Vessel,8,LONGLINER,GOA,CG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Halibut,Halibut,0,NA,NA,NA,NA,58
91565,4173,21_CINDRIAGENE01.01,2101.01,134945,4/21/2021 0:52,191181,4/24/2021 0:26,4/24/2021 1:33,Y,5,HAL,7,FixedHookLongline,3,CA,31,31,GOA,24,620,4093,555701,0,N/A,0,N/A,N,57.28,-156.01746,57.26,-155.96531,S,CV,0.3774028,0.083940064,I,I,4/21/2021 0:00,2021,1,No problems,7/27/2021 17:30,10/7/2021 9:55,10/7/2021 9:55,N,N,28.15,30,22,8,66048114,202,2,110,2,PCOD,0.1232608,123.2608,26,58,10/7/2021 9:55,10/26/2022 6:30,58183,58183,Catcher Vessel,8,LONGLINER,GOA,CG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Halibut,Halibut,0,NA,NA,NA,NA,58
107134,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,212030,2/3/2021 1:31,2/3/2021 1:33,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.64,-163.13875,54.64,-163.13734,S,CV,0.0250428,0.0250428,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899581,202,2,110,2,PCOD,0.0250428,25.0428,4,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
91537,3238,21_PACIFICVENTURE03.01,2103.01,135081,4/13/2021 23:33,190623,4/16/2021 20:45,4/16/2021 22:07,Y,5,HAL,7,FixedHookLongline,3,CA,31,31,GOA,24,620,7244,575501,0,N/A,0,N/A,N,54.99,-157.7545,55.02,-157.74589,S,CV,0.2525615,0.222443096,I,I,4/13/2021 0:00,2021,1,No problems,6/30/2021 17:30,10/7/2021 9:55,10/7/2021 9:55,N,N,18.61,30,13,4,66047820,202,2,110,2,PCOD,0.2322992,232.2992,49,88,10/7/2021 9:55,10/26/2022 6:30,A441,986,Catcher Vessel,8,LONGLINER,GOA,CG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Halibut,Halibut,0,NA,NA,NA,NA,103
107131,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,212027,2/3/2021 2:08,2/3/2021 2:10,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.64,-163.14172,54.64,-163.13962,S,CV,0.0751284,0.0751284,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899578,202,2,110,2,PCOD,0.0751284,75.1284,12,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
107182,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,212078,2/3/2021 18:49,2/3/2021 18:52,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.63,-163.17687,54.63,-163.17548,S,CV,0.125214,0.125214,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899645,202,2,110,2,PCOD,0.125214,125.214,20,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
107062,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,211958,2/2/2021 19:38,2/2/2021 19:40,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.64,-163.14794,54.64,-163.1466,S,CV,0.0876498,0.0876498,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899494,202,2,110,2,PCOD,0.0876498,87.6498,14,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
107044,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,211940,2/2/2021 18:30,2/2/2021 18:32,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.63,-163.21806,54.63,-163.21734,S,CV,0.1690389,0.162277344,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899470,202,2,110,2,PCOD,0.1690389,169.0389,27,96,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
107071,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,211967,2/2/2021 21:08,2/2/2021 21:11,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.64,-163.10534,54.64,-163.10368,S,CV,0.0438249,0.037689414,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899507,202,2,110,2,PCOD,0.0438249,43.8249,7,86,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
99882,31364,21_INTREPID02.01,2102.01,142220,10/5/2021 19:06,204625,10/7/2021 2:52,10/7/2021 5:34,Y,5,HAL,7,FixedHookLongline,3,CA,31,31,GOA,24,620,4093,555701,0,N/A,0,N/A,N,57.19,-155.7324,57.15,-155.7259,S,CV,0.4772939,0.040854,I,I,10/5/2021 0:00,2021,11,No bait in pot,3/21/2022 17:30,3/22/2022 10:37,3/22/2022 10:37,N,N,0.66,30,15,5,77933052,202,2,110,2,PCOD,0.0094816,9.4816,2,0,3/22/2022 10:37,10/26/2022 6:30,75701,75701,Catcher Vessel,8,LONGLINER,GOA,CG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Halibut,Halibut,1,NA,NA,NA,NA,58
107068,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,211964,2/2/2021 19:58,2/2/2021 20:00,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.64,-163.12949,54.64,-163.12839,S,CV,0.1001712,0.1001712,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899502,202,2,110,2,PCOD,0.1001712,100.1712,16,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
107065,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,211961,2/2/2021 20:38,2/2/2021 20:40,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.64,-163.13246,54.64,-163.13113,S,CV,0.0939105,0.0939105,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899498,202,2,110,2,PCOD,0.0939105,93.9105,15,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
107095,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,211991,2/2/2021 23:57,2/2/2021 23:58,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.63,-163.25515,54.63,-163.25415,S,CV,0.0688677,0.0688677,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899533,202,2,110,2,PCOD,0.0688677,68.8677,11,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
100922,200,21_EVENINGSTAR06.01,2106.01,135607,5/7/2021 5:50,211469,5/9/2021 21:11,5/9/2021 22:54,Y,5,HAL,7,FixedHookLongline,3,CA,31,31,GOA,23,610,4477,625401,0,N/A,0,N/A,N,54.34,-162.40503,54.31,-162.42801,S,CV,0.1565018,0.129678818,I,I,5/7/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:36,4/6/2022 10:36,N,Y,24.08,30,22,8,78890499,202,2,110,2,PCOD,0.1354297,135.4297,31,94,4/6/2022 10:36,10/26/2022 6:30,A217,35608,Catcher Vessel,8,LONGLINER,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Halibut,Halibut,0,NA,NA,NA,NA,65
